Site,SAN,LAN,BlackElo,WhiteElo,Opening,player,from_and_piece,to_and_result,from,to,piece_moved,action,index,player_name,result,match_name,piece_id,killed
https://lichess.org/cu2eud5o,e4,e2-e4,1243,1568,Zukertort Opening: Tennison Gambit,white,e2,e4,e2,e4,Pawn,move,0,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-e,
https://lichess.org/cu2eud5o,d5,d7-d5,1243,1568,Zukertort Opening: Tennison Gambit,black,d7,d5,d7,d5,Pawn,move,1,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-P-d,
https://lichess.org/cu2eud5o,Nf3,Ng1-f3,1243,1568,Zukertort Opening: Tennison Gambit,white,Ng1,f3,g1,f3,Knight,move,2,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-N-g,
https://lichess.org/cu2eud5o,dxe4,d5xe4,1243,1568,Zukertort Opening: Tennison Gambit,black,d5,e4,d5,e4,Pawn,kill,3,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-P-d,W-P-e
https://lichess.org/cu2eud5o,Ng5,Nf3-g5,1243,1568,Zukertort Opening: Tennison Gambit,white,Nf3,g5,f3,g5,Knight,move,4,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-N-g,
https://lichess.org/cu2eud5o,Nf6,Ng8-f6,1243,1568,Zukertort Opening: Tennison Gambit,black,Ng8,f6,g8,f6,Knight,move,5,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-g,
https://lichess.org/cu2eud5o,d3,d2-d3,1243,1568,Zukertort Opening: Tennison Gambit,white,d2,d3,d2,d3,Pawn,move,6,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-d,
https://lichess.org/cu2eud5o,Qd5,Qd8-d5,1243,1568,Zukertort Opening: Tennison Gambit,black,Qd8,d5,d8,d5,Queen,move,7,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-Q,
https://lichess.org/cu2eud5o,dxe4,d3xe4,1243,1568,Zukertort Opening: Tennison Gambit,white,d3,e4,d3,e4,Pawn,kill,8,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-d,B-P-d
https://lichess.org/cu2eud5o,Qxd1+,Qd5xd1+,1243,1568,Zukertort Opening: Tennison Gambit,black,Qd5,d1+,d5,d1,Queen,kill,9,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-Q,W-Q
https://lichess.org/cu2eud5o,Kxd1,Ke1xd1,1243,1568,Zukertort Opening: Tennison Gambit,white,Ke1,d1,e1,d1,King,kill,10,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-K,B-Q
https://lichess.org/cu2eud5o,h6,h7-h6,1243,1568,Zukertort Opening: Tennison Gambit,black,h7,h6,h7,h6,Pawn,move,11,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-P-h,
https://lichess.org/cu2eud5o,Nf3,Ng5-f3,1243,1568,Zukertort Opening: Tennison Gambit,white,Ng5,f3,g5,f3,Knight,move,12,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-N-g,
https://lichess.org/cu2eud5o,Bg4,Bc8-g4,1243,1568,Zukertort Opening: Tennison Gambit,black,Bc8,g4,c8,g4,Bishop,move,13,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-B-c,
https://lichess.org/cu2eud5o,Bd3,Bf1-d3,1243,1568,Zukertort Opening: Tennison Gambit,white,Bf1,d3,f1,d3,Bishop,move,14,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-B-f,
https://lichess.org/cu2eud5o,Bxf3+,Bg4xf3+,1243,1568,Zukertort Opening: Tennison Gambit,black,Bg4,f3+,g4,f3,Bishop,kill,15,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-B-c,W-N-g
https://lichess.org/cu2eud5o,gxf3,g2xf3,1243,1568,Zukertort Opening: Tennison Gambit,white,g2,f3,g2,f3,Pawn,kill,16,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-g,B-B-c
https://lichess.org/cu2eud5o,e5,e7-e5,1243,1568,Zukertort Opening: Tennison Gambit,black,e7,e5,e7,e5,Pawn,move,17,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-P-e,
https://lichess.org/cu2eud5o,f4,f3-f4,1243,1568,Zukertort Opening: Tennison Gambit,white,f3,f4,f3,f4,Pawn,move,18,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-g,
https://lichess.org/cu2eud5o,Nc6,Nb8-c6,1243,1568,Zukertort Opening: Tennison Gambit,black,Nb8,c6,b8,c6,Knight,move,19,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-b,
https://lichess.org/cu2eud5o,fxe5,f4xe5,1243,1568,Zukertort Opening: Tennison Gambit,white,f4,e5,f4,e5,Pawn,kill,20,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-g,B-P-e
https://lichess.org/cu2eud5o,Nxe5,Nc6xe5,1243,1568,Zukertort Opening: Tennison Gambit,black,Nc6,e5,c6,e5,Knight,kill,21,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-b,W-P-g
https://lichess.org/cu2eud5o,Bb5+,Bd3-b5+,1243,1568,Zukertort Opening: Tennison Gambit,white,Bd3,b5+,d3,b5,Bishop,check,22,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-B-f,
https://lichess.org/cu2eud5o,c6,c7-c6,1243,1568,Zukertort Opening: Tennison Gambit,black,c7,c6,c7,c6,Pawn,move,23,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-P-c,
https://lichess.org/cu2eud5o,Ba4,Bb5-a4,1243,1568,Zukertort Opening: Tennison Gambit,white,Bb5,a4,b5,a4,Bishop,move,24,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-B-f,
https://lichess.org/cu2eud5o,O-O-O+,O-OO,1243,1568,Zukertort Opening: Tennison Gambit,black,e8,c8,e8,c8,King,move,25,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-K,
https://lichess.org/cu2eud5o,O-O-O+,O-OO,1243,1568,Zukertort Opening: Tennison Gambit,black,a8,d8,a8,d8,Rook,move,26,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-R-a,
https://lichess.org/cu2eud5o,Ke2,Kd1-e2,1243,1568,Zukertort Opening: Tennison Gambit,white,Kd1,e2,d1,e2,King,move,27,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-K,
https://lichess.org/cu2eud5o,Bc5,Bf8-c5,1243,1568,Zukertort Opening: Tennison Gambit,black,Bf8,c5,f8,c5,Bishop,move,28,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-B-f,
https://lichess.org/cu2eud5o,Bf4,Bc1-f4,1243,1568,Zukertort Opening: Tennison Gambit,white,Bc1,f4,c1,f4,Bishop,move,29,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-B-c,
https://lichess.org/cu2eud5o,Rhe8,Rh8-e8,1243,1568,Zukertort Opening: Tennison Gambit,black,Rh8,e8,h8,e8,Rook,move,30,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-R-h,
https://lichess.org/cu2eud5o,a3,a2-a3,1243,1568,Zukertort Opening: Tennison Gambit,white,a2,a3,a2,a3,Pawn,move,31,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-a,
https://lichess.org/cu2eud5o,Nxe4,Nf6xe4,1243,1568,Zukertort Opening: Tennison Gambit,black,Nf6,e4,f6,e4,Knight,kill,32,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-g,W-P-d
https://lichess.org/cu2eud5o,f3,f2-f3,1243,1568,Zukertort Opening: Tennison Gambit,white,f2,f3,f2,f3,Pawn,move,33,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-f,
https://lichess.org/cu2eud5o,Ng5,Ne4-g5,1243,1568,Zukertort Opening: Tennison Gambit,black,Ne4,g5,e4,g5,Knight,move,34,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-g,
https://lichess.org/cu2eud5o,Nd2,Nb1-d2,1243,1568,Zukertort Opening: Tennison Gambit,white,Nb1,d2,b1,d2,Knight,move,35,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-N-b,
https://lichess.org/cu2eud5o,Nd3+,Ne5-d3+,1243,1568,Zukertort Opening: Tennison Gambit,black,Ne5,d3+,e5,d3,Knight,check,36,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-b,
https://lichess.org/cu2eud5o,Kf1,Ke2-f1,1243,1568,Zukertort Opening: Tennison Gambit,white,Ke2,f1,e2,f1,King,move,37,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-K,
https://lichess.org/cu2eud5o,Nxf4,Nd3xf4,1243,1568,Zukertort Opening: Tennison Gambit,black,Nd3,f4,d3,f4,Knight,kill,38,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-b,W-B-c
https://lichess.org/cu2eud5o,b4,b2-b4,1243,1568,Zukertort Opening: Tennison Gambit,white,b2,b4,b2,b4,Pawn,move,39,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-b,
https://lichess.org/cu2eud5o,Rxd2,Rd8xd2,1243,1568,Zukertort Opening: Tennison Gambit,black,Rd8,d2,d8,d2,Rook,kill,40,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-R-a,W-N-b
https://lichess.org/cu2eud5o,bxc5,b4xc5,1243,1568,Zukertort Opening: Tennison Gambit,white,b4,c5,b4,c5,Pawn,kill,41,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-b,B-B-f
https://lichess.org/cu2eud5o,Nxf3,Ng5xf3,1243,1568,Zukertort Opening: Tennison Gambit,black,Ng5,f3,g5,f3,Knight,kill,42,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-g,W-P-f
https://lichess.org/cu2eud5o,c3,c2-c3,1243,1568,Zukertort Opening: Tennison Gambit,white,c2,c3,c2,c3,Pawn,move,43,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-P-c,
https://lichess.org/cu2eud5o,Nxh2+,Nf3xh2+,1243,1568,Zukertort Opening: Tennison Gambit,black,Nf3,h2+,f3,h2,Knight,kill,44,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-N-g,W-P-h
https://lichess.org/cu2eud5o,Kg1,Kf1-g1,1243,1568,Zukertort Opening: Tennison Gambit,white,Kf1,g1,f1,g1,King,move,45,4lawsdotcom,black wins,4lawsdotcom (white) vs Verminard (black),W-K,
https://lichess.org/cu2eud5o,Rg2#,Rd2-g2#,1243,1568,Zukertort Opening: Tennison Gambit,black,Rd2,g2#,d2,g2,Rook,checkmate,46,Verminard,black wins,4lawsdotcom (white) vs Verminard (black),B-R-a,
